Estados do Brasil
UF [-],C&oacute;digo [-],Gent&iacute;lico [-],Governador [2019],Capital [2010],&Aacute;rea Territorial - km&sup2; [2019],Popula&ccedil;&atilde;o estimada - pessoas [2020],Densidade demogr&aacute;fica - hab/km&sup2; [2010],Matrículas no ensino fundamental - matr&iacute;culas [2014],IDH &lt;span&gt;Índice de desenvolvimento humano&lt;/span&gt; [2010],Receitas realizadas - R$ (&times;1000) [2013],Despesas empenhadas - R$ (&times;1000) [2015],Rendimento mensal domiciliar per capita - R$ [2018],Total de ve&iacute;culos - ve&iacute;culos [2015],
Para&iacute;ba,25,paraibano,JO&Atilde;O AZEVEDO LINS FILHO,Jo&atilde;o Pessoa,56467.242,4039277,66.70,589897,0.658,10843551.00676,9555872.10859,898,1114851,
Paran&aacute;,41,paranaense,CARLOS ROBERTO MASSA JUNIOR,Curitiba,199298.979,11516840,52.40,1493849,0.749,35995601.15754,36414833.04433,1607,6959319,
Pernambuco,26,pernambucano,PAULO HENRIQUE SARAIVA C&Acirc;MARA,Recife,98067.881,9616621,89.62,1373572,0.673,30825151.11056,28203579.24457,871,2715622,
Piau&iacute;,22,piauiense,JOS&Eacute; WELLINGTON BARROSO DE ARA&Uacute;JO DIAS,Teresina,251756.515,3281480,12.40,519819,0.646,8943720.91292,7848427.82848,817,1024415,
Rio de Janeiro,33,fluminense,WILSON JOS&Eacute; WITZEL,Rio de Janeiro,43750.427,17366189,365.23,2159990,0.761,76603460.69777,65978034.65436,1689,6184773,
Rio Grande do Norte,24,potiguar ou  norte-rio-grandense ou  rio-grandense-do-norte,MARIA DE FATIMA BEZERRA,Natal,52809.602,3534165,59.99,493086,0.684,11199767.71757,11011799.20106,956,1110993,
Rio Grande do Sul,43,ga&uacute;cho ou sul-rio-grandense,EDUARDO FIGUEIREDO CAVALHEIRO LEITE,Porto Alegre,281707.156,11422973,37.96,1374717,0.746,48656437.20144,55155651.95946,1705,6457517,
Rond&ocirc;nia,11,rondoniense ou rondoniano,MARCOS JOSE ROCHA DOS SANTOS,Porto Velho,237765.240,1796460,6.58,283279,0.690,7095738.14325,6222163.69125,1113,865839,
Roraima,14,roraimense,ANTONIO OLIVERIO GARCIA DE ALMEIDA,Boa Vista,223644.527,631181,2.01,92795,0.707,4145909.44258,2831810.41456,1204,191053,
Santa Catarina,42,catarinense ou barriga-verde,CARLOS MOIS&Eacute;S DA SILVA,Florian&oacute;polis,95730.684,7252502,65.27,799552,0.774,27279362.60352,22979636.74042,1660,4623582,
S&atilde;o Paulo,35,paulista,JO&Atilde;O AGRIPINO DA COSTA DORIA JUNIOR,S&atilde;o Paulo,248219.481,46289333,166.23,5537627,0.783,196875515.66748,220506971.96347,1898,26605042,
Sergipe,28,sergipano ou sergipense,BELIVALDO CHAGAS SILVA,Aracaju,21925.424,2318822,94.36,350168,0.665,8857397.90982,7509075.204,906,661871,
Tocantins,17,tocantinense,MAURO CARLESSE,Palmas,277466.763,1590248,4.98,248836,0.699,7810855.35449,7486049.49586,1045,612002,

<table class="fontes-container"><tr><th>Notas:</th></tr><tr><td>População estimada: Diferença de 780 pessoas entre os Estados do Piauí e Ceará com relação a Projeção da População para o Brasil e Unidades da Federação 2019, para o ano de 2019, em virtude de alteração de limites entre municípios na fronteira interestadual. <br />Diferença de 446 pessoas entre os Estados de Alagoas e Pernambuco com relação a Projeção da População para o Brasil e Unidades da Federação 2019, para o ano de 2019, em virtude de alteração de limites entre municípios na fronteira interestadual. <br />Diferença de 206 pessoas entre os Estados de Sergipe e Bahia com relação a Projeção da População para o Brasil e Unidades da Federação 2019, para o ano de 2019, em virtude de alteração de limites entre municípios na fronteira interestadual. <br />Diferença de 2.250 pessoas entre o Estado de Goiás e o Distrito Federal com relação a Projeção da População para o Brasil e Unidades da Federação 2019, para o ano de 2019, em virtude de alteração de limites entre municípios na fronteira interestadual.</td></tr><tr><td>Rendimento mensal domiciliar per capita: As estimativas de rendimento apresentadas atendem ao disposto na Lei Complementar 143/2013, que estabelece os novos crit&eacute;rios de rateio do Fundo de Participa&ccedil;&atilde;o dos Estados e do Distrito Federal (FPE) e, em consequ&ecirc;ncia, aos compromissos assumidos quanto à defini&ccedil;&atilde;o dos valores a serem repassados ao Tribunal de Contas da Uni&atilde;o (TCU) para o c&aacute;lculo dos fatores representativos do inverso da renda domiciliar per capita</td></tr><tr><th>Fontes:</th></tr><tr><td>Área Territorial: &Aacute;rea territorial brasileira. Rio de Janeiro: IBGE, 2018</td></tr><tr><td>População estimada: IBGE, Diretoria de Pesquisas, Coordena&ccedil;&atilde;o de Popula&ccedil;&atilde;o e Indicadores Sociais, Estimativas da popula&ccedil;&atilde;o residente com data de refer&ecirc;ncia 1o de julho de 2019</td></tr><tr><td>Densidade demogr&aacute;fica: IBGE, Censo Demogr&aacute;fico 2010, &Aacute;rea territorial brasileira. Rio de Janeiro: IBGE, 2011</td></tr><tr><td>IDH <span>Índice de desenvolvimento humano</span>: Programa das Na&ccedil;&otilde;es Unidas para o Desenvolvimento - PNUD</td></tr><tr><td>Matrículas no ensino fundamental: Minist&eacute;rio da Educa&ccedil;&atilde;o, Instituto Nacional de Estudos e Pesquisas Educacionais - INEP - 2018</td></tr><tr><td>Total de ve&iacute;culos: Minist&eacute;rio das Cidades, Departamento Nacional de Trânsito - DENATRAN - 2018</td></tr><tr><td>Receitas realizadas: Contas anuais. Receitas or&ccedil;ament&aacute;rias realizadas (Anexo I-C) 2017 e Despesas or&ccedil;ament&aacute;rias empenhadas (Anexo I-D) 2017. In: Brasil. Secretaria do Tesouro Nacional, Siconfi: Sistema de Informa&ccedil;&otilde;es Cont&aacute;beis e Fiscais do Setor P&uacute;blico Brasileiro. Bras&iacute;lia, DF, [2018]. Dispon&iacute;vel em: https://siconfi.tesouro.gov.br/siconfi/pages/public/consulta_finbra/finbra_list.jsf. Acesso em: set. 2018</td></tr><tr><td>Despesas empenhadas: Contas anuais. Receitas or&ccedil;ament&aacute;rias realizadas (Anexo I-C) 2017 e Despesas or&ccedil;ament&aacute;rias empenhadas (Anexo I-D) 2017. In: Brasil. Secretaria do Tesouro Nacional, Siconfi: Sistema de Informa&ccedil;&otilde;es Cont&aacute;beis e Fiscais do Setor P&uacute;blico Brasileiro. Bras&iacute;lia, DF, [2018]. Dispon&iacute;vel em: https://siconfi.tesouro.gov.br/siconfi/pages/public/consulta_finbra/finbra_list.jsf. Acesso em: set. 2018</td></tr><tr><td>Rendimento mensal domiciliar per capita: IBGE, Diretoria de Pesquisas, Coordena&ccedil;&atilde;o de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domic&iacute;lios Cont&iacute;nua 2018</td></tr></table>
